Namespace(batchsize=8, epoch=80, gpu='0', learning_rate=0.0001, optimizer='Adam', workers=1)
epoch:34	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.015	 joint loss:0.031	 total loss:0.408	 TP:474	 FP:802	TN:755	 FN:15	 acc:0.601	 p:0.370	r:0.954	 F1:0.262	 depth acc:0.999	 quat acc:0.369
epoch:35	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.014	 joint loss:0.031	 total loss:0.407	 TP:473	 FP:801	TN:757	 FN:15	 acc:0.601	 p:0.370	r:0.954	 F1:0.262	 depth acc:0.999	 quat acc:0.370
epoch:36	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.013	 joint loss:0.031	 total loss:0.406	 TP:473	 FP:800	TN:757	 FN:15	 acc:0.601	 p:0.369	r:0.954	 F1:0.262	 depth acc:0.999	 quat acc:0.371
epoch:37	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.009	 joint loss:0.031	 total loss:0.402	 TP:474	 FP:800	TN:757	 FN:15	 acc:0.601	 p:0.370	r:0.953	 F1:0.262	 depth acc:0.999	 quat acc:0.376
epoch:38	 iter:1999/2000	 gpts loss:0.361	 depth loss:0.000	quat loss:0.010	 joint loss:0.031	 total loss:0.402	 TP:474	 FP:801	TN:756	 FN:15	 acc:0.601	 p:0.371	r:0.955	 F1:0.263	 depth acc:0.999	 quat acc:0.373
epoch:39	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.007	 joint loss:0.031	 total loss:0.400	 TP:474	 FP:802	TN:756	 FN:15	 acc:0.601	 p:0.368	r:0.954	 F1:0.261	 depth acc:0.999	 quat acc:0.375
epoch:40	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.005	 joint loss:0.031	 total loss:0.398	 TP:474	 FP:802	TN:754	 FN:15	 acc:0.601	 p:0.368	r:0.954	 F1:0.262	 depth acc:0.999	 quat acc:0.377
epoch:41	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.006	 joint loss:0.031	 total loss:0.399	 TP:474	 FP:802	TN:755	 FN:15	 acc:0.601	 p:0.369	r:0.955	 F1:0.262	 depth acc:0.999	 quat acc:0.377
epoch:42	 iter:1999/2000	 gpts loss:0.361	 depth loss:0.000	quat loss:0.005	 joint loss:0.031	 total loss:0.396	 TP:474	 FP:802	TN:755	 FN:15	 acc:0.601	 p:0.369	r:0.955	 F1:0.262	 depth acc:0.999	 quat acc:0.378
epoch:43	 iter:1999/2000	 gpts loss:0.360	 depth loss:0.000	quat loss:0.004	 joint loss:0.031	 total loss:0.395	 TP:475	 FP:802	TN:755	 FN:15	 acc:0.601	 p:0.370	r:0.956	 F1:0.263	 depth acc:0.999	 quat acc:0.378
epoch:44	 iter:1999/2000	 gpts loss:0.361	 depth loss:0.000	quat loss:0.002	 joint loss:0.031	 total loss:0.394	 TP:474	 FP:802	TN:755	 FN:15	 acc:0.601	 p:0.369	r:0.955	 F1:0.262	 depth acc:0.999	 quat acc:0.379
epoch:45	 iter:1999/2000	 gpts loss:0.360	 depth loss:0.000	quat loss:0.002	 joint loss:0.031	 total loss:0.393	 TP:474	 FP:801	TN:756	 FN:14	 acc:0.601	 p:0.371	r:0.957	 F1:0.263	 depth acc:0.999	 quat acc:0.380
epoch:46	 iter:1999/2000	 gpts loss:0.361	 depth loss:0.000	quat loss:0.000	 joint loss:0.031	 total loss:0.392	 TP:475	 FP:803	TN:754	 FN:14	 acc:0.600	 p:0.369	r:0.955	 F1:0.262	 depth acc:0.999	 quat acc:0.381
epoch:47	 iter:1999/2000	 gpts loss:0.360	 depth loss:0.000	quat loss:-0.002	 joint loss:0.031	 total loss:0.389	 TP:475	 FP:802	TN:755	 FN:14	 acc:0.601	 p:0.370	r:0.956	 F1:0.262	 depth acc:0.999	 quat acc:0.382
epoch:48	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.001	 joint loss:0.031	 total loss:0.390	 TP:474	 FP:804	TN:753	 FN:14	 acc:0.600	 p:0.370	r:0.957	 F1:0.263	 depth acc:0.999	 quat acc:0.381
epoch:49	 iter:1999/2000	 gpts loss:0.360	 depth loss:0.000	quat loss:-0.003	 joint loss:0.031	 total loss:0.388	 TP:474	 FP:803	TN:754	 FN:14	 acc:0.600	 p:0.369	r:0.957	 F1:0.262	 depth acc:0.999	 quat acc:0.383
epoch:50	 iter:1999/2000	 gpts loss:0.360	 depth loss:0.000	quat loss:-0.003	 joint loss:0.031	 total loss:0.388	 TP:475	 FP:803	TN:754	 FN:14	 acc:0.601	 p:0.369	r:0.956	 F1:0.262	 depth acc:0.999	 quat acc:0.382
epoch:51	 iter:1999/2000	 gpts loss:0.360	 depth loss:0.000	quat loss:-0.005	 joint loss:0.031	 total loss:0.386	 TP:475	 FP:803	TN:754	 FN:14	 acc:0.601	 p:0.370	r:0.957	 F1:0.262	 depth acc:0.999	 quat acc:0.384
epoch:52	 iter:1999/2000	 gpts loss:0.359	 depth loss:0.000	quat loss:-0.005	 joint loss:0.031	 total loss:0.385	 TP:475	 FP:803	TN:754	 FN:14	 acc:0.601	 p:0.370	r:0.957	 F1:0.263	 depth acc:0.999	 quat acc:0.385
